Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
55,525.11025,0.5,5,0,5,0,10,10,10,0,2,8,4.2997499999999995
57,645.4256275,0.5,2,0,7,0,10,10,10,0,0,20,12.299722500000003
67,809.7242275,0.5,10,0,17,0,10,10,10,0,0,16,11.6454
73,966.07085,0.5,7,1,24,1,10,10,10,0,1,18,13.5182775
76,1117.90995525,0.5,4,1,28,2,10,10,10,2,1,16,13.225104749999996
81,1296.34628775,0.5012345679012346,5,0,33,2,10,10,10,0,2,20,17.0169675
82,1436.44988345,0.501219512195122,3,2,36,4,10,10,10,0,0,20,19.640232299999997
86,1619.718594665125,0.5023255813953489,5,1,41,5,10,10,10,2,2,18,22.179737389875
87,1799.091803300125,0.5022988505747127,1,0,42,5,10,10,10,2,1,20,26.255136765000007
89,1953.7112656951251,0.5033707865168539,4,2,46,7,10,10,10,0,1,16,20.259033405000004
90,2124.2990929192,0.5044444444444445,2,1,48,8,10,10,10,0,2,20,30.725261738925
92,2318.84986805265,0.5054347826086957,2,0,50,8,10,10,10,0,1,16,21.48023020455
92,2454.530632166755,0.5054347826086957,2,2,52,10,10,10,10,0,1,20,26.549800450094995
96,2662.376886270555,0.5067708333333333,4,0,56,10,10,10,10,2,2,20,29.103910048200003
98,2865.9908586030638,0.5076530612244898,2,0,58,10,10,10,10,0,2,18,14.824091093272502
101,3060.2897146082146,0.5079207920792079,4,1,62,11,10,10,10,0,2,18,26.303715750000002
104,3256.274450969675,0.5091346153846154,4,1,66,12,10,10,10,6,4,18,29.768700000000003
106,3480.6962907252996,0.5099056603773585,2,0,68,12,10,10,10,0,3,20,30.67754625
110,3705.996756036492,0.5104545454545455,5,1,73,13,10,10,10,0,3,20,31.836128805195003
117,3967.6222279463477,0.5123931623931623,7,0,80,13,10,10,10,0,2,18,33.53055599738325
118,4173.248379137222,0.5122881355932203,2,1,82,14,10,10,10,2,3,20,51.94820709000001
121,4370.621514645425,0.5144628099173554,5,2,87,16,10,10,10,0,1,20,37.07510679869397
127,4648.248675999528,0.5196850393700787,6,0,93,16,10,10,10,0,0,18,47.97325746729751
129,4890.794470361829,0.5197674418604651,3,1,96,17,10,10,10,2,2,20,52.691389848408924
126,4855.6645617130725,0.5214285714285714,3,6,99,23,10,10,10,0,6,18,58.799481576335886
131,4988.739886696324,0.5206106870229007,9,4,108,27,10,10,10,0,4,20,56.361303056345854
132,5162.768190096118,0.5212121212121212,3,2,111,29,10,10,10,2,2,18,50.03973559994064
133,5349.698014254632,0.5244360902255639,4,3,115,32,10,10,10,0,6,20,68.54458815678751
137,5602.440786687674,0.5255474452554745,5,1,120,33,10,10,10,0,3,18,49.74532983640648
139,5855.805946894102,0.5289568345323741,3,1,123,34,10,10,10,0,5,20,46.270427002124585
141,6036.984468404429,0.5280141843971631,5,3,128,37,10,10,10,0,2,18,69.6644011154657
144,6243.037557404458,0.5289930555555555,5,2,133,39,10,10,10,0,1,20,67.97089854261127
143,6286.858476140583,0.5302447552447551,3,4,136,43,10,10,10,0,4,20,43.99482048508223
140,6274.267329981308,0.531607142857143,3,6,139,49,10,10,10,0,3,20,62.77529114316536
147,6545.023907525342,0.5335034013605442,8,1,147,50,10,10,10,0,2,18,48.29605395727078
149,6851.67694962198,0.5354026845637584,3,1,150,51,10,10,10,2,3,18,66.29505796385693
145,6960.887677939315,0.5372413793103448,1,5,151,56,10,10,10,0,3,16,55.68787273884634
149,7245.743527253015,0.5389261744966443,5,1,156,57,10,10,10,4,4,20,56.05718887449544
154,7368.451277051259,0.5402597402597402,8,3,164,60,10,10,10,2,1,20,59.73126546201145
158,7595.112927852359,0.5408227848101265,7,3,171,63,10,10,10,2,2,20,66.52524607823223
163,7767.069693831976,0.5409509202453987,8,3,179,66,10,10,10,0,2,20,85.18015151857865
167,8057.256444670619,0.5405688622754491,5,1,184,67,10,10,10,0,1,20,70.26994133579377
169,8252.60224131161,0.5412721893491124,5,3,189,70,10,10,10,0,3,20,66.880125
178,8425.157763811832,0.5435393258426966,13,4,202,74,10,10,10,0,6,20,76.90666555417985
184,8614.060972398023,0.5429347826086957,10,4,212,78,10,10,10,4,3,20,70.68492599999999
193,8869.833121633252,0.5447538860103627,11,2,223,80,10,10,10,0,1,20,67.43393797761037
197,8832.93704095736,0.5475888324873096,10,6,233,86,10,10,10,0,8,16,62.2006125
201,9075.46710450778,0.5485696517412935,8,4,241,90,10,10,10,0,5,20,65.08600758675448
206,9492.72070064756,0.550121359223301,6,1,247,91,10,10,10,2,2,20,66.74857923755792
209,9798.523544776608,0.5527511961722488,6,3,253,94,10,10,10,0,4,20,57.91051719723059
