Population,Total_Wealth,Avg_Skill,Births,Deaths,Births_Cumul,Deaths_Cumul,Healer_Count,Toolmaker_Count,Trader_Count,Successful_Healings,Tools_Produced,Trades_Executed,Wealth_Traded
54,520.085,0.5,4,0,4,0,10,10,10,0,0,6,3.3150000000000004
55,633.2407,0.5,1,0,5,0,10,10,10,0,0,12,6.072300000000001
55,743.4987,0.5,0,0,5,0,10,10,10,0,0,14,10.062000000000001
57,863.7519,0.5,2,0,7,0,10,10,10,0,0,14,9.8748
58,968.0435,0.5,3,2,10,2,10,10,10,0,0,18,15.272400000000001
59,1089.3682675,0.5,1,0,11,2,10,10,10,0,0,16,12.665932499999998
61,1217.771425,0.5,2,0,13,2,10,10,10,0,0,20,15.723142500000002
64,1347.061492625,0.5,4,1,17,3,10,10,10,0,0,14,11.312637375
64,1440.3280656875,0.5,2,2,19,5,10,10,10,0,0,12,6.4963494375
67,1583.8553261875,0.5,3,0,22,5,10,10,10,0,0,16,20.5631595
67,1681.322229951935,0.5,2,2,24,7,10,10,10,0,0,14,19.63182
70,1830.8503732394352,0.5,3,0,27,7,10,10,10,0,0,16,20.5975882125
74,1966.204311764435,0.5,5,1,32,8,10,10,10,0,0,18,17.703602475
74,2114.6473426094353,0.5,0,0,32,8,10,10,10,0,0,18,17.278202955
77,2249.368924371154,0.5,4,1,36,9,10,10,10,0,0,18,27.587556262500005
76,2387.574440603247,0.5,0,1,36,10,10,10,10,0,0,20,26.08342706775
80,2560.691357355571,0.5,4,0,40,10,10,10,10,0,0,18,43.55975334064436
79,2671.3843923631457,0.5,1,2,41,12,10,10,10,0,0,20,22.233717831804476
79,2788.001288075692,0.5,2,2,43,14,10,10,10,0,0,20,21.653568232072207
80,2927.9490955997326,0.5,2,1,45,15,10,10,10,0,0,20,36.96449343757806
80,3065.515302775433,0.505,1,1,46,16,10,10,10,2,14,18,47.29100804493975
81,3233.942638381012,0.5055555555555555,1,0,47,16,10,10,10,0,0,18,40.066088617566386
80,3298.197805156257,0.505625,1,2,48,18,10,10,10,0,0,20,40.206036923538065
77,3213.320624680009,0.5084415584415584,3,6,51,24,10,10,10,0,2,18,48.409370058855
80,3388.753946948413,0.509375,3,0,54,24,10,10,10,0,1,18,36.39956846775743
78,3439.2999315223624,0.5083333333333333,0,2,54,26,10,10,10,0,0,20,53.22143306462319
76,3479.2807447078876,0.5072368421052631,0,2,54,28,10,10,10,0,0,20,30.242622631339792
72,3353.383344586041,0.5076388888888889,1,5,55,33,10,10,10,0,0,20,47.43020902426863
73,3429.0465964385407,0.5061643835616438,3,2,58,35,10,10,10,0,0,20,28.3628222475
76,3593.4434285699363,0.5059210526315789,3,0,61,35,10,10,10,0,0,20,34.22353505978725
71,3538.6303448939925,0.5049295774647887,0,5,61,40,10,10,10,0,0,20,47.83532286975001
69,3566.652469073061,0.5079710144927536,0,2,61,42,10,10,10,4,12,20,39.68533766390934
71,3716.3813279644605,0.5091549295774648,2,0,63,42,10,10,10,0,1,18,44.28690651496907
70,3759.983927628371,0.5121428571428571,1,2,64,44,10,10,10,0,2,20,58.33360580224896
71,3837.128117205308,0.5133802816901409,2,1,66,45,10,10,10,0,1,20,34.71111815945344
73,3937.34171350379,0.5184931506849314,3,1,69,46,10,10,10,2,14,20,50.7414312835299
75,4028.912314940666,0.5179999999999999,3,1,72,47,10,10,10,0,1,18,41.95047434850101
73,4048.340290250342,0.5212328767123289,0,2,72,49,10,10,10,0,2,20,39.236268747689415
71,4091.3382264230595,0.5232394366197183,0,2,72,51,10,10,10,0,2,18,30.9542031101874
72,4247.24373527658,0.5270833333333332,1,0,73,51,10,10,10,6,13,16,45.299491944932086
72,4213.963595216454,0.5302083333333333,3,3,76,54,10,10,10,0,2,20,51.21209409581151
71,4272.531401073514,0.5327464788732393,1,2,77,56,10,10,10,0,1,20,59.912500773371974
70,4267.005894763329,0.5346428571428571,2,3,79,59,10,10,10,0,1,16,33.49633175968202
70,4274.538047639952,0.5389285714285713,3,3,82,62,10,10,10,0,2,20,56.67122074672501
69,4357.839570559138,0.5394927536231883,1,2,83,64,10,10,10,0,0,20,55.25530419978495
67,4169.3803216031165,0.5361940298507463,2,4,85,68,10,10,10,0,0,20,68.3619760200625
70,4332.046124576806,0.5375,3,0,88,68,10,10,10,0,2,20,53.91647908785477
70,4464.226706836915,0.5417857142857142,1,1,89,69,10,10,10,0,3,20,61.00642753592384
71,4560.360072916616,0.5426056338028169,2,1,91,70,10,10,10,0,0,20,46.02379797665972
70,4586.754094013971,0.5446428571428571,1,2,92,72,10,10,10,0,1,20,30.830090260487072
